Fall 2009,xyz,Recitation for HONR 1101,0,0,Maureen,Kelleher,10175,HONR1102,20,16,
Fall 2012,xyz,Intermediate Spanish 1,0,4,Maria,Brucato,10176,SPNS2101,18,17,
Fall 2009,xyz,Enhancing Honors,0,1,Maureen,Kelleher,10177,HONR1101,153,148,
Fall 2011,xyz,Weather and Climate,0,4,Annette,Govindarajan,10178,ENVR1111,60,59,
Fall 2011,xyz,Princ of Macroecon (HON),0,4,Daniel,Greenfield,10181,ECON1115,48,49,
Fall 2010,xyz,Elementary Chinese 2,0,4,Hua,Dong,10182,CHNS1102,18,17,
Fall 2011,xyz,Lab for ENVR 1200,0,1,Martin,Ross,10186,ENVR1201,27,18,
Fall 2009,xyz,Elementary Italian 1,0,4,Romina,Crociani,10187,ITLN1101,18,17,
Fall 2010,xyz,Lab for PHYS 1147 (HON),0,1,Sujeet,Akula,10187,PHYS1148,10,8,
Fall 2011,xyz,Dynamic Earth,0,4,Daniel,Douglass,10187,ENVR1200,60,61,
Fall 2012,xyz,Elementary Spanish 1,0,4,Carlos,Cruz,10187,SPNS1101,18,18,
Fall 2010,xyz,Lab for BIOL 1113,0,1,Aaron,Roth,10190,BIOL1114,19,18,
Fall 2011,xyz,Lab for ENVR 3300,0,1,Cynthia,Adom,10190,ENVR3301,19,19,
Fall 2012,xyz,Elementary Spanish 1,0,4,Yanet,Canavan,10190,SPNS1101,18,18,
Fall 2010,xyz,Intermediate Japanese 2,0,4,Matsuko,Levin,10191,JPNS2102,9,3,
Fall 2011,xyz,Building Your Management Skills,0,4,Francis,Spital,10194,MGMT3303,19,12,
Fall 2011,xyz,Elementary Japanese 2,0,4,Yuki,Sakurai,10195,JPNS1102,18,14,
Fall 2012,xyz,Elementary Russian 1,0,4,Ekaterina,Burvikova,10195,RSSN1101,18,17,
Fall 2012,xyz,Elementary Japanese 1,0,4,Rei,Inouye,10198,JPNS1101,18,18,
Fall 2009,xyz,Enhancing Honors,0,1,Maureen,Kelleher,10210,HONR1101,153,141,
Fall 2012,xyz,Calculus 2,0,4,Ivan,Loseu,10210,MATH1242,35,33,
Fall 2010,xyz,Principles of Macroeconomics,0,4,Sean,Isakower,10211,ECON1115,48,38,
Fall 2010,xyz,Principles of Macroeconomics,0,4,Hyo,Chu,10213,ECON1115,48,45,
Fall 2010,xyz,Lab for ENVR 1200,0,1,Martin,Ross,10218,ENVR1201,27,25,
Fall 2009,xyz,Calculus 1 for Science and Engineering,0,4,Arthur,Weiss,10219,MATH1341,35,34,
Fall 2010,xyz,Dynamic Earth,0,4,Daniel,Douglass,10219,ENVR1200,114,107,
Fall 2010,xyz,Lab for ENVR 3300,0,1,Malcolm,Hill,10222,ENVR3301,19,7,
Fall 2010,xyz,Building Your Management Skills,0,4,John,Griffith,10226,MGMT3303,36,25,
Fall 2012,xyz,Elementary French 2,0,4,Loiza,Miles,10227,FRNH1102,16,9,
Fall 2012,xyz,Elementary French 2,0,4,Michele,Danh,10228,FRNH1102,18,11,
Fall 2012,xyz,Elementary French 2,0,4,Michele,Danh,10229,FRNH1102,18,9,
Fall 2012,xyz,Elementary French 1,0,4,Loiza,Miles,10230,FRNH1101,18,18,
Fall 2009,xyz,Calculus 1,0,4,Matior,Rahman,10231,MATH1241,35,33,
Fall 2010,xyz,Elementary Italian 1,0,4,Charlene,Palladino,10231,ITLN1101,18,18,
Fall 2011,xyz,Elementary Italian 2,0,4,Luigia,Maiellaro,10231,ITLN1102,18,16,
Fall 2012,xyz,Elementary French 1,0,4,Loiza,Miles,10231,FRNH1101,18,18,
Fall 2012,xyz,Elementary French 1,0,4,Catherine,Dunand,10234,FRNH1101,18,19,
Fall 2012,xyz,Elementary Modern Greek 1,0,4,Maria,Haralabatos,10235,GREK1101,18,6,
Fall 2011,xyz,Lab for BIOL 1113,0,1,Aaron,Roth,10236,BIOL1114,19,17,
Fall 2010,xyz,Elementary Spanish 1,0,4,Paul,Laplante,10248,SPNS1101,18,12,
Fall 2011,xyz,Elementary Italian 1,0,4,Alessio,Tognetti,10251,ITLN1101,18,18,
Fall 2012,xyz,Introduction to Latin American Culture,0,4,Barbara,Corbett,10251,CLTR1505,35,27,
Fall 2009,xyz,Issues in Corporate Governance,0,4,Donald,Margotta,10253,FINA4312,40,39,
Fall 2012,xyz,Introduction to Criminal Justice,0,4,John,Passmore,10254,CRIM1100,49,47,
Fall 2010,xyz,Intermediate Japanese 1,0,4,Matsuko,Levin,10258,JPNS2101,18,17,
Fall 2010,xyz,Elementary Japanese 2,0,4,Rei,Inouye,10259,JPNS1102,18,6,
Fall 2012,xyz,Elementary ASL 1,0,4,Paul,Schreyer,10259,AMSL1101,14,4,
Fall 2010,xyz,Elementary Japanese 1,0,4,Yuki,Sakurai,10260,JPNS1101,15,14,
Fall 2010,xyz,Elementary Japanese 1,0,4,Kumiko,Tsuji,10261,JPNS1101,18,14,
