Fall 2009,Coll of Computer & Info Sci,Comp/Info Science Overview 1,1,1,John,Casey,11531,CS1200,45,18,
Fall 2009,Coll of Computer & Info Sci,Honors Freshman Seminar 1,1,1,Richard,Rasala,11989,CS2900,40,0,
Fall 2009,Coll of Computer & Info Sci,Dissertation,2,4,Mitchell,Wand,17001,CS9990,1,1,
Fall 2009,Coll of Computer & Info Sci,Fundamentals of Computer Sci 2,4,4,Viera,Proulx,10867,CS2510,38,27,
Fall 2009,Bouve College of Hlth Sciences,Org Behavior & Change Mgmt,3,3,Cynthia,Spurr,12686,HINF6201,25,21,
Fall 2009,Coll of Computer & Info Sci,Readings,2,4,Javed,Aslam,17067,CS8982,1,1,
Fall 2009,Coll of Computer & Info Sci,Recitation for CS 1800,0,0,Javed,Aslam,10495,CS1801,27,15,
Fall 2009,Coll of Computer & Info Sci,Recitation for CS 1800,0,0,Javed,Aslam,10508,CS1801,27,27,
Fall 2009,Coll of Computer & Info Sci,Research,2,4,Albert-Laszlo,Barabasi,17026,CS8984,1,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation,2,4,Timothy,Bickmore,16997,CS9990,1,1,
Fall 2009,Coll of Computer & Info Sci,Readings,2,4,Timothy,Bickmore,16996,CS8982,1,1,
Fall 2009,Coll of Computer & Info Sci,Object-Oriented Design,4,4,Riccardo,Pucella,11530,CS3500,60,61,
Fall 2009,Coll of Computer & Info Sci,Directed Study,1,1,Kyle,Courtney,17013,IA5976,1,1,
Fall 2009,Coll of Computer & Info Sci,Algorithms & Data,4,4,Harriet,Fell,11970,CS4800,60,15,
Fall 2009,Coll of Computer & Info Sci,Dissertation,2,4,Rajmohan,Rajaraman,17184,CS9990,1,1,
Fall 2009,Coll of Computer & Info Sci,Readings,2,4,Guevara,Noubir,16995,CS8982,1,1,
Fall 2009,Coll of Computer & Info Sci,Master's Project,4,4,Guevara,Noubir,17157,CS8674,10,1,
