Fall 2009,Coll of Computer & Info Sci,Information System Forensics,4,4,Themis,Papageorge,15377,IA5210,0,0,0,
Fall 2009,Coll of Computer & Info Sci,Int Principle Programming Lang,4,4,Mitchell,Wand,12710,CS7400,40,0,14,
Fall 2009,Coll of Computer & Info Sci,Intro to Database Systems,4,4,Kenneth,Baclawski,13909,CS5200,70,2,26,
Fall 2009,Coll of Computer & Info Sci,Lab for CS 1500,1,1,Peter,Douglass,11967,CS1501,38,0,26,
Fall 2009,Coll of Computer & Info Sci,Lab for CS 1500,1,1,Peter,Douglass,11968,CS1501,38,0,26,
Fall 2009,Coll of Computer & Info Sci,Lab for CS 2500,1,1,,,15225,CS2501,0,0,0,
Fall 2009,Coll of Computer & Info Sci,Lab for CS 2500,1,1,Olin,Shivers,10075,CS2501,38,12,17,
Fall 2009,Coll of Computer & Info Sci,Lab for CS 2500,1,1,Olin,Shivers,11016,CS2501,38,20,28,
Fall 2009,Coll of Computer & Info Sci,Lab for CS 2500,1,1,Olin,Shivers,11963,CS2501,38,21,29,
Fall 2009,Coll of Computer & Info Sci,Lab for CS 2500,1,1,Olin,Shivers,11964,CS2501,38,9,34,
Fall 2009,Coll of Computer & Info Sci,Lab for CS 2500,1,1,Olin,Shivers,11965,CS2501,38,32,35,
Fall 2009,Coll of Computer & Info Sci,Lab for CS 2510,1,1,Viera,Proulx,11966,CS2511,0,0,0,
Fall 2009,Coll of Computer & Info Sci,Lab for CS 2510,1,1,Viera,Proulx,15228,CS2511,38,4,27,
Fall 2009,Coll of Computer & Info Sci,Lab for CS 2800,1,1,Pete,Manolios,12298,CS2801,19,7,11,
Fall 2009,Coll of Computer & Info Sci,Lab for CS 2800,1,1,Pete,Manolios,15226,CS2801,19,1,10,
Fall 2009,Coll of Computer & Info Sci,Logic and Computation,4,4,Pete,Manolios,10723,CS2800,38,8,21,
Fall 2009,Coll of Computer & Info Sci,Master's Project,4,4,Gene,Cooperman,17158,CS8674,10,0,1,
Fall 2009,Coll of Computer & Info Sci,Master's Project,4,4,Guevara,Noubir,17157,CS8674,10,0,1,
Fall 2009,Coll of Computer & Info Sci,Master's Project,4,4,Peter,Desnoyers,17169,CS8674,10,0,1,
Fall 2009,Coll of Computer & Info Sci,Methods of Software Developmnt,4,4,Kenneth,Baclawski,16057,CS6520,40,0,29,
Fall 2009,Coll of Computer & Info Sci,Network Fundamentals,4,4,Alan,Mislove,10024,CS4700,10,4,8,
Fall 2009,Coll of Computer & Info Sci,Network Security,4,4,Guevara,Noubir,15230,CS4740,19,7,10,
Fall 2009,Coll of Computer & Info Sci,Network Security,4,4,Guevara,Noubir,16056,CS6740,50,0,9,
Fall 2009,Coll of Computer & Info Sci,Object-Oriented Design,4,4,Riccardo,Pucella,11530,CS3500,60,30,61,
Fall 2009,Coll of Computer & Info Sci,Object-Oriented Design,4,4,William,Clinger,11525,CS3500,60,16,36,
Fall 2009,Coll of Computer & Info Sci,Principles of Programming Lang,4,4,Eliyahu,Barzilay,12715,CS5400,45,0,10,
Fall 2009,Coll of Computer & Info Sci,Programming Design Paradigm,4,4,Matthias,Felleisen,16186,CS5010,100,1,43,
Fall 2009,Coll of Computer & Info Sci,Programming Design Paradigm,4,4,Mitchell,Wand,14286,CS5010,100,0,17,
Fall 2009,Coll of Computer & Info Sci,Programming Languages,4,4,Eliyahu,Barzilay,11969,CS4400,30,23,29,
Fall 2009,Coll of Computer & Info Sci,Readings,2,4,Guevara,Noubir,16995,CS8982,1,0,1,
Fall 2009,Coll of Computer & Info Sci,Readings,2,4,Javed,Aslam,17016,CS8982,2,0,2,
